,DATE,USD to JPY,USD to EUR,USD to GBP,Infl
467,2000-10-18,0.009278159213212,0.8391,1.4464,
468,2000-10-19,0.0092123445416858,0.8406,1.4422,
469,2000-10-20,0.0091709464416727,0.84,1.4448,
470,2000-10-23,0.0092208390963577,0.8364,1.455,
471,2000-10-24,0.0092524056254626,0.8364,1.449,
472,2000-10-25,0.0092549745488199,0.827,1.4335,
473,2000-10-26,0.0092284976005906,0.8271,1.4313,
474,2000-10-27,0.0091954022988505,0.8406,1.4517,
475,2000-10-30,0.0091751536838242,0.8432,1.453,
476,2000-10-31,0.0091617040769583,0.8486,1.4505,
477,2000-11-01,0.0092182890855457,0.8584,1.4452,
478,2000-11-02,0.0092259433527078,0.8594,1.444,
479,2000-11-03,0.0092954080684142,0.8614,1.4484,
480,2000-11-06,0.009316191540898,0.8584,1.432,
481,2000-11-07,0.0093196644920782,0.8583,1.431,
482,2000-11-08,0.0092962721948498,0.8559,1.4236,
483,2000-11-09,0.0093101201005492,0.8574,1.4242,
484,2000-11-10,0.0092738569971251,0.8625,1.4305,
485,2000-11-13,0.0092850510677808,0.8607,1.4388,
486,2000-11-14,0.0092464170134073,0.8573,1.4306,
487,2000-11-15,0.0091954022988505,0.857,1.4257,
488,2000-11-16,0.0091675834250091,0.8532,1.4228,
489,2000-11-17,0.0091861106007716,0.8516,1.423,
490,2000-11-20,0.0091082976591675,0.8486,1.4222,
